N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT  FINAL,TYPE,STATUT
101,242/03 B 061/09,03 B 061,PARACETAMOL,TYLENOL,SIROP,3% (150MG/5ML),FL/125ML,,HOP,OFF,,GROUPE SANTE,ALGERIE,2009-07-01 00:00:00,2009-07-01 00:00:00,GE,F
102,001/03 B 070/06/12,03 B 070,PARACETAMOL,DOLOMOL,SUSP. BUV.,250MG/5ML,B/1FL. DE 120ML + GOBLET DE 15ML,,HOP,OFF,,HIKMA PHARMA ALGERIA SARL,ALGERIE,2006-07-01 00:00:00,2012-10-15 00:00:00,GE,F
103,001/03 B 071/07,03 B 071,PARACETAMOL,DOLOMOL,SUPPO.,250MG,B/06,,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2007-06-17 00:00:00,2007-06-17 00:00:00,GE,F
104,348/03 B 080/08,03 B 080,PARACETAMOL,DOFEBRIL,COMP. EFFERV.,1G,B/10,,HOP,OFF,,ALGERIAN PHARMACEUTICAL INSTITUTE (API),ALGERIE,2008-05-17 00:00:00,2008-05-17 00:00:00,GE,F
105,400/03 B 081/11,03 B 081,PARACETAMOL,DOLICRANE,COMPRIME,1G,B/10,,HOP,OFF,,KHROUB PHARMACEUTICAL MANUFACTURING ALGERIA  SARL (KPMA),ALGERIE,2011-09-20 00:00:00,2011-09-20 00:00:00,GE,F
106,319/03 B 081/07,03 B 081,PARACETAMOL,GEMAL,COMPRIME,1G,B/10,,HOP,OFF,,ARAB PHARM,ALGERIE,2007-07-22 00:00:00,2007-07-22 00:00:00,GE,F
107,003/03 B 086/07,03 B 086,PARACETAMOL,PARALGAN,SUPPO.,1000MG,B/10,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2007-12-04 00:00:00,2007-12-04 00:00:00,GE,F
108,003/03 B 087/07,03 B 087,PARACETAMOL,PARALGAN,COMP. ORODISPERS. SEC.,80MG,B/16,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2007-04-30 00:00:00,2007-04-30 00:00:00,GE,F
109,003/03 B 091/07,03 B 091,PARACETAMOL,PARALGAN,COMP. ORODISPERS.,160MG,B/20,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2007-06-17 00:00:00,2007-06-17 00:00:00,GE,F
110,026/03 B 096/01/09,03 B 096,PARACETAMOL,ALGIMOL,SUPPO.,170MG,B/10,,HOP,OFF,,LABORATOIRE PHARMACEUTIQUE ALGERIEN  DE PRODUCTION (LPA),ALGERIE,2001-02-10 00:00:00,2009-02-28 00:00:00,GE,F
111,003/03 B 096/97/10,03 B 096,PARACETAMOL,PARALGAN,SUPPO.,170MG,B/10,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,1997-01-05 00:00:00,2010-12-19 00:00:00,GE,F
112,289/03 B 097/08,03 B 097,PARACETAMOL/CHLORPHENAMINE MALEATE/ACIDE ASCORBIQUE,NOFEB,GLES.,"240MG/3,2MG/100MG",B/20,,HOP,OFF,,FRATER SARL,ALGERIE,2008-05-31 00:00:00,2008-05-31 00:00:00,GE,F
113,366/03 B 100/08,03 B 100,PARACETAMOL,SUPPFADOL,SUPPO.,80MG,B/10,,HOP,OFF,,4A SANTE INDUSTRIE SARL,ALGERIE,2008-03-19 00:00:00,2008-03-19 00:00:00,GE,F
114,003/03 B 100/07,03 B 100,PARACETAMOL,PARALGAN,SUPPO.,80MG,B/10,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2007-12-31 00:00:00,2007-12-31 00:00:00,GE,F
115,003/03 B 101/08,03 B 101,PARACETAMOL,PARALGAN,SUPPO.,600MG,B/10,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2008-02-20 00:00:00,2008-02-20 00:00:00,GE,F
116,027/03 F 013/97,03 F 013,BUPRENORPHINE,TEMGESIC,SOL.INJ.,"0,3 MG/ML",B/10,LISTE I,HOP,OFF,,SCHERING PLOUGH,FRANCE,1997-08-20 00:00:00,1997-08-20 00:00:00,RE,I
117,027/03 F 029/98,03 F 029,BUPRENORPHINE,TEMGESIC,COMP.SUB-LING.,"0,2MG",B/20,LISTE I,HOP,,,SCHERING PLOUGH,FRANCE,1998-09-01 00:00:00,1998-09-01 00:00:00,RE,I
118,035/03 F 047/10,03 F 047,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,DUOFEM,GLES.,50MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2010-12-19 00:00:00,2010-12-19 00:00:00,GE,F
119,235/03 F 047/10,03 F 047,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,ZODID,GLES.,50MG,B/30,LISTE I,HOP,OFF,,BIO-GALENIC,ALGERIE,2010-11-24 00:00:00,2010-11-24 00:00:00,GE,F
120,003/03 F 107/09,03 F 107,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,DOLTRAM,COMP. ENRO. LP,100MG,B/30,LISTE I,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2009-04-06 00:00:00,2009-04-06 00:00:00,GE,F
121,003/03 F 108/09,03 F 108,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,DOLTRAM,COMP. ENRO. LP,150MG,B/30,LISTE I,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2009-04-06 00:00:00,2009-04-06 00:00:00,GE,F
122,003/03 F 109/09,03 F 109,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,DOLTRAM,COMP. ENRO. LP,200MG,B/30,LISTE I,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2009-04-06 00:00:00,2009-04-06 00:00:00,GE,F
123,358/03 F 111/09,03 F 111,TRAMADOL CHLORHYDRATE EXPRIME EN TRAMADOL,TRAMGESIC,SOL. INJ.,50MG/ML (100MG/2ML),B/05 AMP.DE 2ML,LISTE I,HOP,OFF,,CADILA HEALTHCARE LIMITED,INDE,2009-12-08 00:00:00,2009-12-08 00:00:00,GE,I
124,095/03 G 076/07,03 G 076,FENTANYL,DUROGESIC 25µG/HEURE,DISPOSITIF TRANSDERMIQUE,25µG/HEURE,B/05,,HOP,OFF,STUPÉFIANTS,JANSSEN CILAG S.A.,FRANCE,2007-06-17 00:00:00,2007-06-17 00:00:00,RE,I
125,095/03 G 077/07,03 G 077,FENTANYL,DUROGESIC 50µG/HEURE,DISPOSITIF TRANSDERMIQUE,50µG/HEURE,B/05,,HOP,OFF,STUPÉFIANTS,JANSSEN CILAG S.A.,FRANCE,2007-06-17 00:00:00,2007-06-17 00:00:00,RE,I
126,095/03 G 078/07,03 G 078,FENTANYL,DUROGESIC 75µG/HEURE,DISPOSITIF TRANSDERMIQUE,75µG/HEURE,B/05,,HOP,OFF,STUPÉFIANTS,JANSSEN CILAG S.A.,FRANCE,2007-06-17 00:00:00,2007-06-17 00:00:00,RE,I
127,095/03 G 079/07,03 G 079,FENTANYL,DUROGESIC 100µG/HEURE,DISPOSITIF TRANSDERMIQUE,100µG/HEURE,B/05,,HOP,OFF,STUPÉFIANTS,JANSSEN CILAG S.A.,FRANCE,2007-06-17 00:00:00,2007-06-17 00:00:00,RE,I
128,095/03 G 106/08,03 G 106,FENTANYL,DUROGESIC 12µG/HEURE,DISPOSITIF TRANSDERMIQUE,12µG/HEURE,B/05,,HOP,OFF,STUPÉFIANTS,JANSSEN CILAG S.A.,FRANCE,2008-12-23 00:00:00,2008-12-23 00:00:00,RE,I
129,101/03 H 112/09,03 H 112,NEFOPAM CHLORHYDRATE,ACUPAN,SOL. INJ. IM/IV,10MG/ML (OU 20MG/2ML),B/05AMP. DE 2ML,LISTE I,HOP,OFF,,BIOCODEX,FRANCE,2009-12-24 00:00:00,2009-12-24 00:00:00,RE,I
130,293/04 B 006/05/11,04 B 006,Diclofénac sodique,FLOVENAC,GLES. A µGRLES. GASTRORESIST.,50MG,B/20,LISTE II,HOP,OFF,,BIOCARE SARL,ALGERIE,2005-01-08 00:00:00,2011-03-21 00:00:00,GE,F
131,001/04 B 006/97/10,04 B 006,Diclofénac sodique,VOTREX,COMP. GASTRORESIST.,50MG,B/20,LISTE II,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,1997-06-16 00:00:00,2010-12-19 00:00:00,GE,F
132,035/04 B 007/98/06,04 B 007,Diclofénac sodique,VOLTUM,GLES. A µGRLES. LP,100MG,B/10,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,1998-03-10 00:00:00,2006-12-18 00:00:00,GE,F
133,001/04 B 007/97/10,04 B 007,Diclofénac sodique,VOTREX RETARD,COMP. PELLI. LP,100MG,B/10,LISTE II,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,1997-06-22 00:00:00,2010-05-13 00:00:00,GE,F
134,263/04 B 008/06,04 B 008,Diclofénac sodique,BIOFENAC,SUPPO.,25MG,B/10,LISTE II,HOP,OFF,,BIOPHARM ALGERIE,ALGERIE,2006-07-01 00:00:00,2006-07-01 00:00:00,GE,F
135,026/04 B 008/05,04 B 008,Diclofénac sodique,DICLOFENIL-ENFANT,SUPPO.,25MG,B/10,LISTE II,HOP,OFF,,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,2005-10-12 00:00:00,2005-10-12 00:00:00,GE,F
136,068/04 B 008/97/11,04 B 008,Diclofénac sodique,VOLTARENE,SUPPO.,25MG,B/10,LISTE II,HOP,OFF,,NOVARTIS PHARAM AG,SUISSE,1997-11-09 00:00:00,2011-01-17 00:00:00,RE,F
137,035/04 B 008/09,04 B 008,Diclofénac sodique,VOLTUM,SUPPO. ENFANTS,25MG,B/10,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2009-01-27 00:00:00,2009-01-27 00:00:00,GE,F
138,001/04 B 008/03/10,04 B 008,Diclofénac sodique,VOTREX,SUPPO.,25MG,B/10,LISTE II,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2003-09-16 00:00:00,2010-12-19 00:00:00,GE,F
139,319/04 B 008/08,04 B 008,Diclofénac sodique,PHLOGOREN ENFANT,SUPPO.,25MG,B/10,LISTE II,HOP,OFF,,ARAB PHARM,ALGERIE,2008-03-23 00:00:00,2008-03-23 00:00:00,GE,F
140,366/04 B 009/09,04 B 009,Diclofénac sodique,DICLOFAR,SUPPO.,100MG,B/10,LISTE II,HOP,OFF,,4A SANTE INDUSTRIE SARL,ALGERIE,2009-05-02 00:00:00,2009-05-02 00:00:00,GE,F
141,026/04 B 009/01/09,04 B 009,Diclofénac sodique,DICLOFENIL,SUPPO.,100MG,B/10,LISTE II,HOP,OFF,,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,2001-03-28 00:00:00,2009-02-28 00:00:00,GE,F
142,231/04 B 009/00,04 B 009,Diclofénac sodique,FENAQUENE,SUPPO,100MG,B/10,LISTE II,HOP,OFF,,SALEM,ALGERIE,2000-07-17 00:00:00,2000-07-17 00:00:00,GE,F
143,319/04 B 009/05,04 B 009,Diclofénac sodique,PHLOGOREN,SUPPO.,100MG,B/10,LISTE II,HOP,OFF,,ARAB PHARM SARL,ALGERIE,2005-03-06 00:00:00,2005-03-06 00:00:00,GE,F
144,068/04 B 009/97/09,04 B 009,Diclofénac sodique,VOLTARENE,SUPPO.,100MG,B/10,LISTE II,HOP,OFF,,NOVARTIS PHARMA SCHWEIZ AG,SUISSE,1997-11-09 00:00:00,2009-08-27 00:00:00,RE,F
145,035/04 B 009/97/08,04 B 009,Diclofénac sodique,VOLTUM,SUPPO.,100MG,B/10,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,1997-08-16 00:00:00,2008-03-24 00:00:00,GE,F
146,035/04 B 010/09,04 B 010,IBUPROFENE,ANTALFEN,COMPRIME PELLICULE,400MG,B/20,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2009-12-08 00:00:00,2009-12-08 00:00:00,GE,F
147,235/04 B 010/11,04 B 010,IBUPROFENE,NEUPREN,COMPRIME PELLICULE,400MG,B/20,LISTE II,HOP,OFF,,BIO-GALENIC,ALGERIE,2011-05-04 00:00:00,2011-05-04 00:00:00,GE,F
148,348/04 B 010/08,04 B 010,IBUPROFENE,APIFEN,COMPRIME,400MG,B/20,LISTE II,HOP,OFF,,ALGERIAN PHARMACEUTICAL INSTITUTE (API),ALGERIE,2008-03-19 00:00:00,2008-03-19 00:00:00,GE,F
149,012/04 B 012/98,04 B 012,IBUPROFENE,CROMIVAL,SUPPO.,500MG,B/12,LISTE II,HOP,OFF,,CROVIS PHILCOM,ITALIE,1998-11-08 00:00:00,1998-11-08 00:00:00,GE,I
150,203/04 B 014/99,04 B 014,INDOMETACINE,FIRMACIN,SUPPO.,50MG,B/10,LISTE I,HOP,OFF,,MENARINI,ITALIE,1999-07-13 00:00:00,1999-07-13 00:00:00,GE,I
151,010/04 B 014/98,04 B 014,Indométacine,ARTROLIFE,SUPPO.,50MG,B/10,LISTE I,HOP,OFF,,LIFEPHARMA,ITALIE,1998-07-01 00:00:00,1998-07-01 00:00:00,GE,I
152,055/04 B 014/99,04 B 014,Indométacine,INDOGESIC,SUPPO.,50MG,B/10,LISTE I,HOP,OFF,,DAR AL DAWA,JORDANIE,1999-01-13 00:00:00,1999-01-13 00:00:00,GE,I
153,001/04 B 014/97,04 B 014,Indométacine,INDOMIN,SUPPO.,50MG,B/10,LISTE I,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,1997-12-24 00:00:00,2006-07-01 00:00:00,GE,F
154,203/04 B 015/99,04 B 015,INDOMETACINE,FIRMACIN,SUPPO.,100MG,B/10,LISTE I,HOP,OFF,,MENARINI,ITALIE,1999-07-13 00:00:00,1999-07-13 00:00:00,GE,I
155,010/04 B 015/96,04 B 015,Indométacine,ARTROLIFE,SUPPO.,100MG,B/10,LISTE I,HOP,OFF,,LIFEPHARMA,ITALIE,1996-10-13 00:00:00,1996-10-13 00:00:00,GE,I
156,055/04 B 015/99,04 B 015,Indométacine,INDOGESIC,SUPPO.,100MG,B/5,LISTE I,HOP,OFF,,DAR AL DAWA,JORDANIE,1999-01-13 00:00:00,1999-01-13 00:00:00,GE,I
157,001/04 B 015/97/06,04 B 015,Indométacine,INDOMIN,SUPPO.,100MG,B/12,LISTE I,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,1997-12-24 00:00:00,2006-07-01 00:00:00,GE,F
158,231/04 B 017/04,04 B 017,KETOPROFENE,ALPROFEN,SUPPO.,100MG,B/10,LISTE II,HOP,OFF,,SALEM,ALGERIE,2004-03-06 00:00:00,2004-03-06 00:00:00,GE,F
159,319/04 B 017/09,04 B 017,KETOPROFENE,GEPROFENE,SUPPO.,100MG,B/12,LISTE II,HOP,OFF,,ARAB PHARM,ALGERIE,2009-07-01 00:00:00,2009-07-01 00:00:00,GE,F
160,026/04 B 017/09,04 B 017,KETOPROFENE,KETOPROFENE LPA,SUPPO.,100MG,B/10,LISTE II,HOP,OFF,,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,2009-03-07 00:00:00,2009-03-07 00:00:00,GE,F
161,003/04 B 017/01/10,04 B 017,KETOPROFENE,SAIFEN,SUPPO.,100MG,B/10,LISTE II,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2001-06-26 00:00:00,2010-05-13 00:00:00,GE,F
162,366/04 B 017/08,04 B 017,KETOPROFENE,KETOFEN,SUPPO.,100MG,B/10,LISTE II,HOP,OFF,,4A SANTE INDUSTRIE SARL,ALGERIE,2008-04-08 00:00:00,2008-04-08 00:00:00,GE,F
163,258/04 B 019/04,04 B 019,NAPROXENE SODIQUE,NAREX,COMPRIME PELLICULE,275MG,B/10,LISTE II,HOP,OFF,,PETRA PHARM,ALGERIE,2004-08-01 00:00:00,2004-08-01 00:00:00,GE,F
164,001/04 B 019/97/09,04 B 019,NAPROXENE SODIQUE,NOPAIN,COMPRIME,275MG,B/20,LISTE II,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,1997-12-21 00:00:00,2009-04-19 00:00:00,GE,F
165,098/04 B 019/98/08,04 B 019,NAPROXENE SODIQUE,PROXIDOL,COMPRIME,275MG,B/20,LISTE II,HOP,OFF,,HAYAT PHARMACEUTICAL INDUSTRIES CO. LTD,JORDANIE,1998-04-29 00:00:00,2008-06-04 00:00:00,GE,I
166,166/04 B 020/98,04 B 020,NAPROXENE SODIQUE,NEXORPAN,COMPRIME PELLICULE,550MG,B/10,LISTE II,HOP,OFF,,RAM PHARMACEUTICAL INDUSTRIES,JORDANIE,1998-08-16 00:00:00,1998-08-16 00:00:00,GE,I
167,001/04 B 020/97/09,04 B 020,NAPROXENE SODIQUE,NOPAIN DS,COMPRIME,550MG,B/10,LISTE II,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,1997-12-21 00:00:00,2009-04-19 00:00:00,GE,F
168,098/04 B 020/98/08,04 B 020,NAPROXENE SODIQUE,PROXIDOL DS,COMPRIME,550MG,B/10,LISTE II,HOP,OFF,,HAYAT PHARMACEUTICAL INDUSTRIES CO. LTD,JORDANIE,1998-04-29 00:00:00,2008-06-04 00:00:00,GE,I
169,079/04 B 021/98,04 B 021,PIROXICAM,PIROCAM,COMPRIME,10MG,B/10,LISTE I,HOP,OFF,,LABORATOIRE  ALGERIEN DE DEVELOPPEMENT  PHARMACEUTIQUE   (LAD),ALGERIE,1998-09-16 00:00:00,1998-09-16 00:00:00,GE,F
170,045/04 B 022/99,04 B 022,PIROXICAM,FELDENE,COMP.DISPER.SEC.,20MG,B/10,LISTE I,HOP,OFF,,PFIZER PHARM ALGERIE,ALGERIE,1999-02-07 00:00:00,1999-02-07 00:00:00,GE,F
171,317/04 B 022/10,04 B 022,PIROXICAM,PIROXEN,COMP. DISPERS.,20MG,B/12,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2010-03-16 00:00:00,2010-03-16 00:00:00,GE,F
172,003/04 B 022/06,04 B 022,PIROXICAM,PRIXAM,COMP. DISPERS.,20MG,B/10,LISTE I,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2006-06-19 00:00:00,2006-06-19 00:00:00,GE,F
173,050/04 B 022/08,04 B 022,PIROXICAM,PIROXICAM SANDOZ,COMPRIME SECABLE,20MG,B/10,LISTE I,HOP,OFF,,SANDOZ SPA,ALGERIE,2008-07-14 00:00:00,2008-07-14 00:00:00,GE,F
174,231/04 B 023/00,04 B 023,PIROXICAM,PIROXAL,SUPPO,20MG,B/10,LISTE I,HOP,OFF,,SALEM,ALGERIE,2000-05-30 00:00:00,2000-05-30 00:00:00,GE,F
175,026/04 B 023/01,04 B 023,PIROXICAM,POLIPIROX,SUPPO.,20MG,B/10,LISTE I,HOP,OFF,,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,2001-02-10 00:00:00,2001-02-10 00:00:00,GE,F
176,003/04 B 023/99,04 B 023,PIROXICAM,PRIXAM,SUPPO.,20MG,B/10,LISTE I,HOP,OFF,,GROUPE SAIDAL,ALGERIE,1999-02-06 00:00:00,1999-02-06 00:00:00,GE,F
177,003/04 B 024/07,04 B 024,PIROXICAM,PRIXAM,SOL. INJ. IM,20MG/ML,B/02 AMP. DE 1ML,LISTE I,HOP,OFF,,GROUPE SAIDAL,ALGERIE,2007-03-18 00:00:00,2007-03-18 00:00:00,GE,F
178,231/04 B 030/09,04 B 030,MORNIFLUMATE,NIFLUMENE,SUPPO.,700MG,B/08,LISTE II,HOP,OFF,,SALEM,ALGERIE,2009-03-07 00:00:00,2009-03-07 00:00:00,GE,F
179,366/04 B 030/10,04 B 030,MORNIFLUMATE,NIFLURIC,SUPPO.,700MG,B/10,LISTE II,HOP,OFF,,4A SANTE INDUSTRIE SARL,ALGERIE,2010-03-16 00:00:00,2010-03-16 00:00:00,GE,F
180,035/04 B 030/09,04 B 030,MORNIFLUMATE,USENIL,SUPPO. ADULTE,700MG,B/08,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2009-05-02 00:00:00,2009-05-02 00:00:00,GE,F
181,319/04 B 031/06,04 B 031,MORNIFLUMATE,GEMATE,SUPPO.,400MG,B/10,LISTE II,HOP,OFF,,ARAB PHARM,ALGERIE,2006-11-11 00:00:00,2006-11-11 00:00:00,GE,F
182,231/04 B 031/06,04 B 031,MORNIFLUMATE,NIFLUMENE,SUPPO.,400MG,B/08,LISTE II,HOP,OFF,,SALEM,ALGERIE,2006-06-20 00:00:00,2006-06-20 00:00:00,GE,F
183,035/04 B 031/09,04 B 031,MORNIFLUMATE,USENIL,SUPPO. SEC.ENFANT,400MG,B/08,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2009-05-02 00:00:00,2009-05-02 00:00:00,GE,F
184,418/04 B 032/09,04 B 032,KETOPROFENE,KETOFEN LP,GLES. LP,200MG,B/20,LISTE II,HOP,OFF,,NEOMEDIC,ALGERIE,2009-07-19 00:00:00,2009-07-19 00:00:00,GE,F
185,035/04 B 032/98/07,04 B 032,KETOPROFENE,PROFEN LP,GLES. A MICROGRLES. LP,200MG,B/20,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,1998-03-10 00:00:00,2007-04-09 00:00:00,GE,F
186,293/04 B 037/10,04 B 037,Diclofénac sodique,FLOVENAC LP,GLES. A MICROGRANULES GASTRORESIST. LP,75MG,B/30,LISTE II,HOP,OFF,,BIOCARE SARL,ALGERIE,2010-10-21 00:00:00,2010-10-21 00:00:00,GE,F
187,001/04 B 037/12,04 B 037,Diclofénac sodique,VOTREX,COMP. PELLI. LP,75MG,B/20,LISTE II,HOP,OFF,,HIKMA PHARMA ALGERIA SARL,ALGERIE,2012-11-11 00:00:00,2012-11-11 00:00:00,GE,F
188,035/04 B 040/09,04 B 040,IBUPROFENE,ANTALFEN,COMPRIME PELLICULE,200MG,B/15,LISTE II,HOP,OFF,,PHARMALLIANCE,ALGERIE,2009-07-19 00:00:00,2009-07-19 00:00:00,GE,F
189,348/04 B 040/08,04 B 040,IBUPROFENE,APIFEN,COMPRIME,200MG,B/20,LISTE II,HOP,OFF,,ALGERIAN PHARMACEUTICAL INSTITUTE (API),ALGERIE,2008-04-08 00:00:00,2008-04-08 00:00:00,GE,F
190,195/04 B 040/09,04 B 040,IBUPROFENE,IBUPROFENE IVAL,COMPRIME PELLICULE,200MG,B/20,LISTE II,HOP,OFF,,PHARMA IVAL,ALGERIE,2009-12-30 00:00:00,2009-12-30 00:00:00,GE,F
191,001/04 B 040/11,04 B 040,IBUPROFENE,REMOFEN,COMPRIME PELLICULE,200MG,B/20,LISTE II,HOP,OFF,,HIKMA PHARMA ALGERIA SARL,ALGERIE,2011-04-04 00:00:00,2011-04-04 00:00:00,GE,F
192,147/04 B 042/10,04 B 042,IBUPROFENE,BRUFEN,SUSP. BUV.,20MG/ML (100MG/5ML),FL./145ML + UNE CUILLERE MESURE,,HOP,OFF,,ABBOTT,PORTUGAL,2010-03-28 00:00:00,2010-03-28 00:00:00,GE,F
193,242/04 B 042/05,04 B 042,IBUPROFENE,BUFEN,SUSP. BUV.,20MG/ML (100MG/5ML),FL./125ML,,HOP,OFF,,GROUPE SANTE,ALGERIE,2005-05-08 00:00:00,2005-05-08 00:00:00,GE,F
194,319/04 B 042/08,04 B 042,IBUPROFENE,GEFENE,SUSP. BUV.,20MG/ML (100MG/5ML),FL./125ML,,HOP,OFF,,ARAB PHARM,ALGERIE,2009-01-27 00:00:00,2009-01-27 00:00:00,GE,F
195,352/04 B 042/07,04 B 042,IBUPROFENE,PROF,SUSP. BUV.,20MG/ML (100MG/5ML),FL./100ML + BOUCHON DOSEUR,,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2007-02-10 00:00:00,2007-02-10 00:00:00,GE,F
196,001/04 B 042/06,04 B 042,IBUPROFENE,REMOFEN,SOL. BUV.,20MG/ML (100MG/5ML),FL/120ML,,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2006-06-07 00:00:00,2006-06-07 00:00:00,GE,F
197,026/04 B 042/07,04 B 042,IBUPROFENE,ALVIL,SUSP. BUV.,20MG/ML (100MG/5ML),FL./200ML,,HOP,OFF,,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,2007-12-04 00:00:00,2007-12-04 00:00:00,GE,F
198,055/04 B 042/08,04 B 042,IBUPROFENE,IBUGESIC,SUSP. BUV.,20MG/ML (100MG/5ML),FL./150ML,,HOP,OFF,,DAR AL DAWA DEVELOPMENT AND INVESTMENT CO LTD,JORDANIE,2008-09-10 00:00:00,2008-09-10 00:00:00,GE,F
199,068/04 B 043/10,04 B 043,Diclofénac sodique,"VOLTARENE 12,5MG",SUPPO.,"12,5MG",B/10,LISTE II,HOP,OFF,,NOVARTIS PHARMA SCHWEIZ AG,SUISSE,2010-11-24 00:00:00,2010-11-24 00:00:00,RE,F
200,001/04 B 043/06,04 B 043,Diclofénac sodique,VOTREX,SUPPO.,"12,5MG",B/10,LISTE II,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2006-07-01 00:00:00,2006-07-01 00:00:00,GE,F
201,001/04 B 046/06,04 B 046,Diclofénac sodique,VOTREX,SUPPO.,50MG,B/12,LISTE II,HOP,OFF,,HIKMA PHARMACEUTICALS,JORDANIE,2006-07-01 00:00:00,2006-07-01 00:00:00,GE,F
202,001/04 B 048/06/12,04 B 048,ACIDE MEFENAMIQUE,FENDOL,SUSP. BUV.,50MG/5ML,B/1FL. DE 120ML+GOBLET DE 15 ML,LISTE II,HOP,OFF,,HIKMA PHARMA ALGERIA SARL,ALGERIE,2006-07-01 00:00:00,2012-10-15 00:00:00,GE,F
203,359/04 B 049/06,04 B 049,KETOPROFENE,KEFENTECH,PATCH,30MG,SACHET DE 07,,HOP,OFF,,JEIL PHARMACEUTICAL Co LTD,COREE,2006-12-02 00:00:00,2006-12-02 00:00:00,GE,I
204,092/04 B 054/07,04 B 054,PIROXICAM  (SOUS FORME COMPLEXE PIROXICAM BETA CYCLODEXTRINE),CYCLADOL,COMP. EFFERV.,"20MG  (COMPLEXE PIROXICAM BETA CYCLODEXTRINE 191,2MG)",B/14,LISTE I,HOP,OFF,,CHIESI S.A.,FRANCE,2007-08-28 00:00:00,2007-08-28 00:00:00,GE,I
205,043/04 B 055/07,04 B 055,NAPROXENE,NOXEN,COMPRIME PELLICULE,250MG,B/20,LISTE II,HOP,OFF,,JORDANIAN PHARMACEUTICAL MANUFACTURING (JPM),JORDANIE,2007-11-04 00:00:00,2007-11-04 00:00:00,GE,F
206,043/04 B 056/07,04 B 056,NAPROXENE,NOXEN,COMPRIME PELLICULE,500MG,B/10,LISTE II,HOP,OFF,,JORDANIAN PHARMACEUTICAL MANUFACTURING (JPM),JORDANIE,2007-11-04 00:00:00,2007-11-04 00:00:00,GE,F
207,001/04 B 058/09,04 B 058,MELOXICAM,MOVEN,GLES.,15MG,B/10 ET B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIA SARL,ALGERIE,2009-12-30 00:00:00,2009-12-30 00:00:00,GE,F
208,226/04 B 058/08,04 B 058,MELOXICAM,MOTION 15,COMPRIME,15MG,B/10,LISTE I,HOP,OFF,,"MIDDLE EAST PHARMACEUTICAL AND CHEMICAL INDUSTRIES,MEDICAL APPLIANCES Co",JORDANIE,2008-04-27 00:00:00,2008-04-27 00:00:00,GE,I
