N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,TYPE,STATUT,DATE DE RETRAIT,MOTIF DE RETRAIT
86,036/02 C 022/98,02 C 022,LIDOCAINE/ADRENALINE,XYLOCAINE ADRENALINE,SOL.INJ.,0.02,FL/20ML,Liste I,HOP,,ASTRA,FRANCE,1998-10-28 00:00:00,RE,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
87,036/02 C 023/98,02 C 023,LIDOCAINE/GLUCOSE,XYLOCAINE  RACHIANESTHESIE,SOL.INJ.INTRARACHIDIENNE,"5 % / 7,5 %",B/20FL. DE 20ML,Liste II,HOP,,ASTRA,FRANCE,1998-10-28 00:00:00,RE,I,RETRAIT,RETRAIT PAR LE DETENTEUR DANS LE PAYS D'ORIGINE
88,044/02 C 024/98,02 C 024,LIDOCAINE/NORADRENALINE,XYLONOR,CARPULE,"1,8ML","B/50CART. DE 1,8ML",Liste I,HOP,,SEPTODENT,FRANCE,1998-04-27 00:00:00,GE,I,2018-12-25 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL + DéCISION NON RENOUVELéE
89,036/02 C 025/98/16,02 C 025,LIDOCAINE/NAPHAZOLINE,XYLOCAINE NAPHAZOLINE,SOLUTION INJECTABLE,"5% / 0,02%",FL/24ML,LISTE II,HOP,,LABORATOIRES ASTRA ZENECA,FRANCE,1998-10-28 00:00:00,RE,I,2023-01-16 00:00:00,retrait par le laboratoire pour raisons commerciales
90,036/02 C 026/98,02 C 026,LIDOCAINE,XYLOCAINE NEBULISEUR,SPRAY,0.05,FL/20G + 8CANULES COURTES,Liste II,HOP,,ASTRA,FRANCE,1998-10-28 00:00:00,RE,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
91,098/02 C 027/98,02 C 027,LIDOCAINE VISQUEUSE,LIOCAINE,GEL,0.02,T/30G,Liste II,HOP,,HAYAT PHARMACEUTICAL INDUSTRIES Co LTD,JORDANIE,1998-04-29 00:00:00,GE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
92,036/02 C 027/98/16,02 C 027,LIDOCAINE VISQUEUSE,XYLOCAINE VISQUEUSE,GEL ORAL,0.02,TUBE/100G,LISTE II,HOP,,LABORATOIRES ASTRA ZENECA,FRANCE,1998-10-28 00:00:00,RE,I,2023-01-16 00:00:00,retrait par le laboratoire pour raisons commerciales
93,090/02 C 030/99,02 C 030,MEPIVACAINE,MEPICATON 3%,"CARPULE DE 1,8ML",0.03,"B/50CARPULES 1,8ML",,HOP,,WEIMER PHARMA,ALLEMAGNE,1999-01-27 00:00:00,GE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
94,223/02 C 030/01,02 C 030,MEPIVACAINE,MEPIVASTESIN,SOL INJ,3% (3G/100ML),"B/50CART. DE 1,7ML",,HOP,,3M ESPE,ALLEMAGNE,2001-11-25 00:00:00,GE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
95,002/02 C 032/98,02 C 032,PROCAINE CHLORHYDRATE,PROCAINE,SOL .INJ.,0.01,B/100 AMP. DE 2ML,Liste II,HOP,,RENAUDIN,FRANCE,1998-05-23 00:00:00,GE,I,2015-10-06 00:00:00,PRODUIT NON COMMERCIALISE A ÉTÉ AMENéE A LA FABRICATION ET A LA COMMERCIALISATION ET DECISION NON RENOUVELEE
96,002/02 C 033/98,02 C 033,PROCAINE CHLORHYDRATE,PROCAINE,SOL .INJ.,0.02,B/100AMP. DE 2ML,Liste II,HOP,,RENAUDIN,FRANCE,1998-06-15 00:00:00,GE,I,2015-10-06 00:00:00,PRODUIT NON COMMERCIALISE A ÉTÉ AMENéE A LA FABRICATION ET A LA COMMERCIALISATION ET DECISION NON RENOUVELEE
97,036/02 C 044/98,02 C 044,BUPIVACAINE,MARCAINE,SOL.INJ,0.0025,B/10FL. DE 20ML,Liste II,HOP,,ASTRA,FRANCE,1998-12-07 00:00:00,RE,I,RETRAIT,RETRAIT PAR LE DETENTEUR DANS LE PAYS D'ORIGINE
98,036/02 C 046/98,02 C 046,LIDOCAINE / PRILOCAINE,EMLA  5%,CREME,"2,5G/2,5G",T/5G,Liste II,HOP,OFF,ASTRA,FRANCE,1998-01-14 00:00:00,RE,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
99,313/02 C 053/04,02 C 053,ARTICAINE / ADRENALINE,ALPHACAINE SP,SOL. INJ.,4% / 1/000 000,"B/100CART. DE 1,8ML",Liste I,HOP,,DENTSPLAY,FRANCE,2005-11-13 00:00:00,RE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
100,313/02 C 054/04,02 C 054,ARTICAINE / ADRENALINE,ALPHACAINE N,SOL. INJ.,4% / 1/200 000,"B/100CART. DE 1,8ML",Liste I,HOP,,DENTSPLAY,FRANCE,2005-11-13 00:00:00,RE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
101,146/02 D 036/98,02 D 036,PANCURONIUM BROMURE,CURON -B,SOL.INJ.IV,4MG/2ML,B/50,Liste I,HOP,,PHARMACARE LIMITED,AFRIQUE DU SUD,1998-10-13 00:00:00,GE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
102,011/02 D 036/98/17,02 D 036,PANCURONIUM BROMURE,LISAPAN,SOL. INJ. IV,2MG/ML (4MG/2ML),B/50AMP. DE 2ML,Liste I,HOP,,LISAPHARMA SPA,ITALIE,1998-08-18 00:00:00,GE,I,2019-12-19 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
103,005/02 D 038/97,02 D 038,VECURONIUM BROMURE,NORCURON,LYOPH. ET SOLV. P. SOL. INJ. IV,4MG/ML,B/50+50,Liste I,HOP,,ORGANON N.V.,PAYS BAS,1997-11-08 00:00:00,RE,I,2012-09-10 00:00:00,RETRAIT PAR LE DETENTEUR DANS LE PAYS D'ORIGINE
104,328/02 D 038/07,02 D 038,VECURONIUM,CURLEM,PDRE LYOPH.,4MG,B/25FL.,Liste I,HOP,,LEMERY SA DE CV,MEXIQUE,2007-04-17 00:00:00,GE,I,RETRAIT,RETRAIT PAR LE MSPRH POUR INTERDICTION DU LABORATOIRE
105,328/02 D 047/05,02 D 047,ATRACURIUM,TABLOCK,SOL. INJ.,50MG,B/10FL,Liste I,HOP,,LEMERY,MEXIQUE,2005-09-28 00:00:00,GE,I,RETRAIT,RETRAIT PAR LE MSPRH POUR INTERDICTION DU LABORATOIRE
106,112/02 D 047/99,02 D 047,ATRACURIUM,TRACRIUM,SOL.INJ,50MG/5ML,B/10,Liste I,HOP,,GLAXO WELLCOME,FRANCE,1999-09-18 00:00:00,RE,I,2022-09-25 00:00:00,"Les laboratoires ASPEN PHARMA TRADING Limited est le détenteur mondial de l'AMM du produit, En Algérie le détenteur c'est GSK et un transfert a été déposé le 30/01/2019  qui est en instance d'approbation. Le laboratoire souhaite retirer le produit du marché pour des raisons commerciales et que d'autres alternatives sont sur le marché"
107,005/02 D 049/99,02 D 049,ROCURONIUM BROMURE,ESMERON,SOL.INJ.,50MG/5ML,B/12FL. DE 5ML,LISTE I,HOP,,ORGANON  N.V.,PAYS BAS,1999-06-22 00:00:00,RE,I,2025-02-19 00:00:00,ARRET DE COMMERCIALISATION POUR DES RAISONS COMMERCIALES
108,053/03 A 001/97,03 A 001,ACIDE ACETYLSALICYLIQUE,ASPIRINE PH8,COMP.GASTRORESIST.,500MG,B/20,,HOP,OFF,3M SANTE,FRANCE,1997-07-29 00:00:00,RE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
109,263/03 A 001/99/08,03 A 001,ACIDE ACETYLSALICYLIQUE,ATASPIN,COMP.,500MG,B/20,,HOP,OFF,BIOPHARM,ALGERIE,1999-01-05 00:00:00,GE,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
110,177/03 A 001/98,03 A 001,ACIDE ACETYLSALICYLIQUE,ECOPIRIN,COMP.,500MG,B/ 20,,HOP,OFF,ABDI IBRAHIM,TURQUIE,1998-11-18 00:00:00,GE,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
111,064/03 A 001/98,03 A 001,ACIDE ACETYLSALICYLIQUE,ASPRIL 500,COMP.,500MG,B/20,,HOP,OFF,KRG PHARMA,ALGERIE,1998-11-02 00:00:00,GE,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
112,204/03 A 002/96,03 A 002,ACIDE ACETYLSALICYLIQUE,CATALGINE ENF et NOUR,PDRE. ORALE  SACHET,100MG,B/20,,HOP,OFF,FRILAB S.A.,SUISSE,1996-11-10 00:00:00,RE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
113,204/03 A 003/96,03 A 003,ACIDE ACETYLSALICYLIQUE,CATALGINE ADULT,PDRE ORALE SACHET,500MG,B/20,,HOP,OFF,FRILAB S.A.,SUISSE,1996-11-10 00:00:00,RE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
114,193/03 A 004/98,03 A 004,ACETYLSALICYLATE DE LYSINE,SPRIDOL,SOL.INJ.,900MG,B/6 + B/1,,HOP,,GALENICA,MAROC,1999-01-03 00:00:00,GE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
115,376/03 A 004/97/09,03 A 004,ACETYLSALICYLATE DE DL LYSINE EXPRIME EN ACIDE ACETYLSALICYLIQUE,ASPEGIC,PDRE.ET SOLV. P. SOL. INJ. IM/IV,500MG/FL. DE PDRE.,B/06 FL. DE PDRE. + 06AMP. DE 5ML DE SOLV. (EPPI),,HOP,OFF,SANOFI AVENTIS,FRANCE,1997-11-08 00:00:00,RE,I,2019-05-16 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
116,017/03 A 005/96,03 A 005,ACIDE ACETYLSALICYLIQUE,ASPIRINE UPSA 500,COMP. EFFER.,500MG,B/20,,HOP,OFF,BRISTOL MYERS SQUIBB,FRANCE,1997-07-14 00:00:00,RE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
117,050/03 A 058/98,03 A 058,ACIDE ACETYLSALICYLIQUE,ASPIREFF-500,COMP. EFFERV.,500MG,B/12,,HOP,OFF,SANDOZ SPA,ALGERIE,1998-10-28 00:00:00,GE,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
118,279/03 A 085/06,03 A 085,ACIDE ACETYLSALICYLIQUE / ACIDE ASCORBIQUE,UNIVALGINE VIT C,COMP. EFFER.,500MG/240MG,B/16,,HOP,OFF.,PRIME UNIVERSAL,ALGERIE,2007-01-06 00:00:00,GE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
119,395/03 A 092/08,03 A 092,ACIDE ACETYSALICYLIQUE / ACIDE ASCORBIQUE,ASPRO 500 VITAMINE C EFFERVESCENT,COMP. EFFER.,500MG/300MG,B/20,,HOP,OFF,BAYER SANTE FAMILLIALE,FRANCE,2008-04-27 00:00:00,RE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
120,035/03 B 005/00,03 B 005,PARACETAMOL,DOLPRIV,COMP.,500MG,B/16,,HOP,OFF,PHARMALLIANCE,ALGERIE,2000-08-13 00:00:00,GE,I,2008-10-19 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
121,157/03 B 005/99,03 B 005,PARACETAMOL,ANTIDOL,COMP.,500MG,B/20,,HOP,OFF,CINFA  SA,ESPAGNE,1999-01-24 00:00:00,GE,I,2009-03-07 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
122,193/03 B 005/99,03 B 005,PARACETAMOL,CETAMYL,COMP.,500MG,B/20,,HOP,OFF,GALENICA,MAROC,1999-01-03 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
123,074/03 B 005/97,03 B 005,PARACETAMOL,DANIPROL,COMP.,500MG,B/20,,HOP,OFF,FERROSAN,DANEMARK,1997-11-18 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
124,146/03 B 005/98,03 B 005,PARACETAMOL,DOLOROL,COMP.,500MG,B/20,,HOP,OFF,PHARMACARE LIMITED,AFRIQUE DU SUD,1998-10-28 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
125,043/03 B 005/98,03 B 005,PARACETAMOL,JOPAMOL,COMP.,500MG,B/50,,HOP,OFF,JORDANIAN PHARMACEUTICAL MANIFACTURING,JORDANIE,1998-08-22 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
126,188/03 B 005/99,03 B 005,PARACETAMOL,PARACETAMOL,COMP.,500MG,B/20,,HOP,OFF,LEK,SLOVENIE,1999-03-16 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
127,153/03 B 005/05,03 B 005,PARACETAMOL,PRALGIR,COMP.,500MG,B/16,,HOP,OFF,ELAIA PHARM,FRANCE,2005-06-08 00:00:00,GE,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
128,301/03 B 005/08,03 B 005,PARACETAMOL,POLIDOL,COMP. SEC.,500MG,B/20,,HOP,OFF,VECOPHARM,ALGERIE,2008-12-23 00:00:00,GE,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
129,042/03 B 005/98,03 B 005,PARACETAMOL,PANADOL,COMP.PELLI.SEC.,500MG,B/16,,HOP,OFF,SMITHKLINE BEECHAM,ROYAUME UNI,1998-02-28 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
130,261/03 B 005/96,03 B 005,PARACETAMOL,DOLIGEN,COMP,500MG,B/16,,HOP,OFF,PHARMAGEN,ALGERIE,2002-01-19 00:00:00,GE,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
131,135/03 B 005/98,03 B 005,PARACETAMOL,ALPHAMOL,COMP.,500MG,B/20,,HOP,OFF,MEDICUBA,CUBA,1998-11-14 00:00:00,GE,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
132,195/03 B 005/99,03 B 005,PARACETAMOL,ANTAMOL,COMP.,500MG,B/20,,HOP,OFF,ALPHARM SPA,ALGERIE,1999-01-13 00:00:00,GE,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
133,377/03 B 005/08,03 B 005,PARACETAMOL,CETAPRANE,COMP.,500MG,B/20,,HOP,OFF,ALGERIE PHARM,ALGERIE,2008-09-13 00:00:00,GE,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
134,064/03 B 005/97,03 B 005,PARACETAMOL,PYRATOL,COMP.,500MG,B/16,,HOP,OFF,KRG PHARMA,ALGERIE,1997-09-06 00:00:00,GE,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
135,001/03 B 005/97,03 B 005,PARACETAMOL,DOLOMOL,COMP.,500MG,B/30,,HOP,OFF,HIKMA PHARMACEUTICALS,JORDANIE,1997-12-24 00:00:00,GE,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
136,190/03 B 005/98,03 B 005,PARACETAMOL,FEVADOL,COMP.,500MG,B/20,,HOP,OFF,SAUDI PHARMACEUTICAL INDUSTRIES & MEDICAL APPLIANCES COORPORATION (SPIMACO),ARABIE SAOUDITE,1998-11-29 00:00:00,GE,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
137,118/03 B 005/98,03 B 005,PARACETAMOL,REVANIN,COMP.,500MG,B/30,,HOP,OFF,ARAB PHARMACEUTICAL MANUFACTURING,JORDANIE,1998-12-01 00:00:00,GE,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
138,121/03 B 005/06,03 B 005,PARACETAMOL,ASITAMOL,COMP.,500MG,B/20,,HOP,OFF,ASIA PHARMACEUTICALS,SYRIE,2006-04-26 00:00:00,GE,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
139,258/03 B 005/06,03 B 005,PARACETAMOL,SEDAMOL,COMP. SEC.,500MG,B/20,,HOP,OFF,PETRA PHARM,ALGERIE,2006-04-26 00:00:00,GE,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
140,231/03 B 005/04,03 B 005,PARACETAMOL,PARAMOL,COMPRIME,500MG,B/20,,HOP,OFF,SALEM,ALGERIE,2004-01-21 00:00:00,GE,F,2024-11-28 00:00:00,SUSPENSION DE LA DE
141,008/03 B 006/96,03 B 006,PARACETAMOL,EFFERALGAN,PDRE EFFERV. POUR SOL BUV,150MG,B/12 SACHETS,,HOP,OFF,UPSA,FRANCE,1996-08-06 00:00:00,RE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
142,230/03 B 006/00,03 B 006,PARACETAMOL,DOLIPRANE,PDRE. SOL. BUV. SACHET,100MG,B/12,,HOP,OFF,THERAPLIX (AVENTIS),FRANCE,2000-07-26 00:00:00,RE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
143,146/03 B 006/98,03 B 006,PARACETAMOL,PARACETAMOL  ELEXIR SAD,SIROP,120MG,FL/100ML,,HOP,OFF,PHARMACARE LIMITED,AFRIQUE DU SUD,1998-10-07 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
144,043/03 B 006/98,03 B 006,PARACETAMOL,JOPAMOL,SOL.BUV.,120MG,FL/100ML,,HOP,OFF,JORDANIAN PHARMACEUTICAL MANIFACTURING,JORDANIE,1998-08-22 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
145,193/03 B 006/99,03 B 006,PARACETAMOL,CETAMYL,SOL.BUV.SACHETS.,125MG,B/12,,HOP,OFF,GALENICA,MAROC,1999-01-03 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
146,082/03 B 006/97,03 B 006,PARACETAMOL,PARACETAMOL PEDIATRIQUE,SOL .BUV.,120MG/5ML,FL/120ML,,HOP,OFF,BIOPHAR,ALGERIE,1997-12-21 00:00:00,GE,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
147,112/03 B 006/00,03 B 006,PARACETAMOL,PYREMOL,SOL. BUV.,150MG,FL/120ML,,HOP,OFF,GLAXO WELLCOME,EGYPTE,2000-07-19 00:00:00,GE,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
148,001/03 B 006/97,03 B 006,PARACETAMOL,DOLOMOL,SOL.BUV.,120MG,FL/100ML,,HOP,OFF,HIKMA PHARMACEUTICALS,JORDANIE,1997-12-24 00:00:00,GE,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
149,190/03 B 006/98,03 B 006,PARACETAMOL,FEVADOL,SOL.BUV.,120MG/5ML,FL/100ML,,HOP,OFF,SAUDI PHARMACEUTICAL INDUSTRIES & MEDICAL APPLIANCES COORPORATION (SPIMACO),ARABIE SAOUDITE,1998-11-29 00:00:00,GE,I,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
150,242/03 B 006/06,03 B 006,PARACETAMOL,TYLENOL JEUNE ENFANT GOÛT BANANE,SUSP. BUV.,125MG/5ML,FL./125ML,,HOP,OFF,GROUPE SANTE,ALGERIE,2006-07-31 00:00:00,GE,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
151,016/03 B 007/96,03 B 007,PARACETAMOL,DOLIPRANE JEUNE ENFANT,SUPPO.,170MG,,,HOP,OFF,THERAPLIX,FRANCE,1996-10-28 00:00:00,RE,I,2006-11-06 00:00:00,RETRAIT PAR LE DETENTEUR DANS LE PAYS D'ORIGINE
152,008/03 B 007/96,03 B 007,PARACETAMOL,EFFERALGAN,SUPPO.,150MG,B/10,,HOP,OFF,UPSA,FRANCE,1996-08-06 00:00:00,RE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
153,055/03 B 007/99,03 B 007,PARACETAMOL,PAMOL,SUPPO.,120MG,B/05,,HOP,OFF,DAR AL DAWA,JORDANIE,1999-02-17 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
154,118/03 B 007/99,03 B 007,PARACETAMOL,REVANIN,SUPPO.,125MG,B/5,,HOP,OFF,ARAB PHARMACEUTICAL MANUFACTURING,JORDANIE,1999-02-14 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
155,243/03 B 007/01,03 B 007,PARACETAMOL,ULTRAMOL,SUPPO.,125MG,B/08,,HOP,OFF,MEDI PHARMA INTERNATIONAL (MEDICOLABS SYRIE),SYRIE,2001-03-13 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
156,026/03 B 007/01/07,03 B 007,PARACETAMOL,ALGIMOL,SUPPO.,150MG,B/10,,HOP,OFF,LABORATOIRE PHARMACEUTIQUE ALGERIEN (LPA),ALGERIE,2001-08-29 00:00:00,GE,F,2013-10-27 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
157,001/03 B 007/97,03 B 007,PARACETAMOL,DOLOMOL,SUPPO.,120MG,B/10,,HOP,OFF,HIKMA PHARMACEUTICALS,JORDANIE,1997-12-24 00:00:00,GE,I,2013-10-27 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
158,185/03 B 007/06,03 B 007,PARACETAMOL,FIRALGINE,SUPPO.,170MG,B/10,,HOP,OFF,GROUPEMENT PHARMACEUTIQUE ALGERIEN (GPA),ALGERIE,2006-12-02 00:00:00,GE,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
159,185/03 B 007/05,03 B 007,PARACETAMOL,FIRALGINE NOURRISSON,SUPPO.,100MG,B/10,,HOP,OFF,GROUPEMENT PHARMACEUTIQUE ALGERIEN (GPA),ALGERIE,2005-10-23 00:00:00,GE,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
160,008/03 B 008/96,03 B 008,PROPARACETAMOL,PRODAFALGAN,PDRE.SOL.INJ.,1G,B/5FL. AVEC DISPOSITIF DE TRANSFERT*,,HOP,,UPSA,FRANCE,1996-08-06 00:00:00,RE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
161,450/03 B 008/07,03 B 008,PARACETAMOL**  (SOUS FORME DE  PROPACETAMOL CHLORHYDRATE ),PROPACETAMOL MYLAN,PDRE. SOL. INJ. PERF. P. PERF.,500MG/FL**. (1G/FL DE  PROPACETAMOLDE CHLORHYDRATE),B/05FL. DE PDRE + DISPOSITIF DE TRANSFERT,,HOP,OFF,MYLAN,FRANCE,2007-12-22 00:00:00,GE,I,2009-10-12 00:00:00,RETRAIT PAR LE MSPRH POUR MOTIF DE PHARMACO- VIGILANCE
162,017/03 B 010/96,03 B 010,PARACETAMOL,EFFERALGAN,COMP. EFFER.,500MG,B/16,,HOP,OFF,BRISTOL MYERS SQUIBB,FRANCE,1996-08-06 00:00:00,RE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
163,279/03 B 010/06,03 B 010,PARACETAMOL,PARAVERSAL,COMP. EFFER.,500MG,B/16,,HOP,OFF,PRIME UNIVERSAL,ALGERIE,2006-10-11 00:00:00,GE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
164,253/03 B 010/04,03 B 010,PARACETAMOL,DOLIPRANE,COMP. EFFER.,500MG,B/16,,HOP,OFF,AVENTIS PHARMA SPA ALGERIE,ALGERIE,2004-02-18 00:00:00,RE,F,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
165,016/03 B 026/99,03 B 026,Paracétamol / Codéine phosphate hémihydraté,CODOLIPRANE,COMPRIME SECABLE,400MG/20MG,B/16,LISTE I,HOP,OFF,RHONE POULENC RORER,FRANCE,1999-06-09 00:00:00,RE,I,2020-04-28 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
166,008/03 B 027/00,03 B 027,PARACETAMOL / CODEINE,EFFERALGAN CODEINE,COMP .EFFER.,500MG/30MG,B/16,,HOP,OFF,UPSA,FRANCE,2000-07-08 00:00:00,RE,I,2014-12-21 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
167,392/03 B 028/17,03 B 028,Paracétamol / Codéine phosphate hémihydraté,CODOLIPRANE,COMPRIME,500MG/30MG,B/16,LISTE I,HOP,OFF,SANOFI AVENTIS ALGERIE SPA,ALGERIE,2017-12-25 00:00:00,GE,F,2020-04-28 00:00:00,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL
168,085/03 B 038/00,03 B 038,PARACETAMOL,PARALYOC,LYOPH. ORALE SACHET,250MG,B/10,,HOP,OFF,L.LAFON,FRANCE,2000-03-15 00:00:00,GE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
169,085/03 B 039/00,03 B 039,PARACETAMOL,PARALYOC,LYOPH. ORALE SACHET,500MG,B/16,,HOP,OFF,L.LAFON,FRANCE,2000-03-15 00:00:00,GE,I,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
170,008/03 B 040/00,03 B 040,PARACETAMOL,DAFALGAN,GLES.,500MG,B/16,,HOP,OFF,UPSA,FRANCE,2000-07-26 00:00:00,GE,F,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
171,016/03 B 040/00,03 B 040,PARACETAMOL,DOLIPRANE,GLES.,500MG,B/12,,HOP,OFF,THERAPLIX,FRANCE,2000-07-26 00:00:00,GE,I,2011-05-08 00:00:00,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION
172,185/03 B 043/05,03 B 043,PARACETAMOL,FIRALGINE ENFANTS,SUPP0.,300MG,B/10,,HOP,OFF,GROUPEMENT PHARMACEUTIQUE ALGERIEN (GPA),ALGERIE,2005-11-21 00:00:00,GE,F,ABROGATION,PRODUIT NON COMMERCIALISE ET DECISION NON RENOUVELEE
